duration_seconds,mfcc_mean,mfcc_std,mfcc_delta_mean,mfcc_delta_std,mfcc_delta2_mean,mfcc_delta2_std,spectral_centroid_mean,spectral_centroid_std,spectral_rolloff_mean,spectral_rolloff_std,spectral_bandwidth_mean,spectral_bandwidth_std,rms_mean,rms_std,zcr_mean,zcr_std,label,dataset,filepath
1.25,-7.755452632904053,57.842586517333984,-0.09756531566381454,4.699888229370117,-0.03057972341775894,2.958174705505371,1422.5394866849665,683.613021326661,2675.5859375,1311.8604137087727,1419.3660873978513,365.99912557090147,0.1482841968536377,0.05995591729879379,0.09354248046875,0.055894756449182355,low,ravdess,datasets\raw\stress\ravdess\Actor_01\03-01-01-01-01-01-01.wav
1.31,-9.4559326171875,60.56792449951172,-0.07663602381944656,4.96279239654541,-0.08547091484069824,2.9874777793884277,1483.5284612413511,719.1881306438546,2869.7916666666665,1304.1100298633085,1491.7779490082796,381.3497252524647,0.13034602999687195,0.056090641766786575,0.08940197172619048,0.04839463096580251,low,ravdess,datasets\raw\stress\ravdess\Actor_01\03-01-01-01-01-02-01.wav
1.25,-9.654343605041504,61.477787017822266,-0.11818206310272217,5.414089202880859,-0.010137766599655151,3.691114664077759,1584.832708753145,1026.2818241700654,2894.53125,1527.004038307631,1437.909889233828,389.6806177899131,0.12359937280416489,0.061705268919467926,0.1159423828125,0.10993036959861266,low,ravdess,datasets\raw\stress\ravdess\Actor_01\03-01-01-01-02-01-01.wav
1.22,-10.063406944274902,63.782447814941406,-0.12604764103889465,5.467177391052246,-0.05724959075450897,3.6632955074310303,1582.6853103395713,980.7588367825498,2966.546474358974,1531.6464491179886,1486.629909717456,412.5388365460944,0.1083705723285675,0.06170616298913956,0.11713741987179487,0.11028449872794484,low,ravdess,datasets\raw\stress\ravdess\Actor_01\03-01-01-01-02-02-01.wav
1.47,-6.5486955642700195,58.92906951904297,-0.04257926344871521,5.151052951812744,-0.050044022500514984,4.023561477661133,1535.5106549857376,986.4644524069155,2814.660904255319,1650.7513461368794,1482.3339696801008,444.27124488031103,0.15178720653057098,0.08500006794929504,0.10987367021276596,0.0897329313233473,low,ravdess,datasets\raw\stress\ravdess\Actor_01\03-01-02-01-01-01-01.wav
1.63,-7.693807125091553,66.0703125,-0.022967524826526642,5.572075366973877,-0.009290243498980999,4.107990741729736,1368.208515125204,848.6591467058515,2561.5985576923076,1628.577023722685,1415.5471960305103,481.8065034360443,0.11987785995006561,0.07295192033052444,0.08574969951923077,0.05927318181577059,low,ravdess,datasets\raw\stress\ravdess\Actor_01\03-01-02-01-01-02-01.wav
1.6,-7.426273345947266,62.00749588012695,-0.08938423544168472,6.40718412399292,-0.12711943686008453,4.111325740814209,1597.442657643011,1137.0644759431493,2806.5257352941176,1594.454642439811,1389.8241274683353,398.33917437026514,0.14896643161773682,0.06979698687791824,0.12655101102941177,0.13648229350843402,low,ravdess,datasets\raw\stress\ravdess\Actor_01\03-01-02-01-02-01-01.wav
1.5,-7.835942268371582,63.671730041503906,-0.24872638285160065,5.638309001922607,-0.01841522753238678,3.4233744144439697,1456.2645311852882,1021.1775910543009,2656.25,1571.7774701560345,1357.929004577556,428.23905398818454,0.1308896392583847,0.06413034349679947,0.10337320963541667,0.1148204355225294,low,ravdess,datasets\raw\stress\ravdess\Actor_01\03-01-02-01-02-02-01.wav
1.76,-4.818694114685059,59.66818618774414,-0.07719699293375015,4.9823689460754395,-0.0970485508441925,3.5326828956604004,1392.3213109720652,849.1683464709944,2578.683035714286,1531.8981929296983,1450.0819652283149,452.0815377686914,0.14260563254356384,0.06516973674297333,0.08210972377232142,0.06461968483730572,low,ravdess,datasets\raw\stress\ravdess\Actor_01\03-01-02-02-01-01-01.wav
2.02,-7.571144104003906,60.71232223510742,-0.008224890567362309,5.6214680671691895,-0.01731128804385662,3.7741734981536865,1630.878322603749,1183.6380685609122,2824.951171875,1741.3375731420724,1443.0125221973485,421.33834567835817,0.11922483146190643,0.0686877965927124,0.12618255615234375,0.14444507928972886,low,ravdess,datasets\raw\stress\ravdess\Actor_01\03-01-02-02-01-02-01.wav
2.24,-5.431572914123535,55.48265838623047,-0.12607647478580475,6.530419826507568,-0.06098545342683792,3.7765138149261475,1729.5546477185942,1324.7694252406313,2825.924295774648,1847.0067690271874,1443.7844330895405,375.06337694712516,0.17571033537387848,0.06780177354812622,0.14061124559859156,0.16436731018126396,low,ravdess,datasets\raw\stress\ravdess\Actor_01\03-01-02-02-02-01-01.wav
1.95,-6.4453277587890625,56.78349685668945,-0.037762027233839035,6.410464763641357,-0.05580572783946991,3.946103811264038,1751.686147692618,1288.3201091561152,3054.3094758064517,1752.661262354449,1468.5413709966772,398.76632104651947,0.14489607512950897,0.07275393605232239,0.14019972278225806,0.1610070771733107,low,ravdess,datasets\raw\stress\ravdess\Actor_01\03-01-02-02-02-02-01.wav
1.44,-9.293936729431152,55.45633316040039,-0.0010673688957467675,5.243135452270508,0.07598096132278442,3.3120675086975098,1507.9499375619214,819.9139451988684,2861.7527173913045,1450.8192955084098,1456.846619867397,378.1017855881793,0.17679935693740845,0.07149538397789001,0.10199770720108696,0.06579741803225031,low,ravdess,datasets\raw\stress\ravdess\Actor_01\03-01-03-01-01-01-01.wav
1.73,-12.181856155395508,71.17772674560547,0.007411695551127195,6.342932224273682,0.012791858986020088,3.5580291748046875,1453.2940470318722,745.9259665155638,2811.931818181818,1461.5286195838257,1454.910924182274,402.2916923128114,0.1332494616508484,0.08065426349639893,0.10206853693181818,0.05521296637319369,low,ravdess,datasets\raw\stress\ravdess\Actor_01\03-01-03-01-01-02-01.wav
1.47,-8.415337562561035,55.89945602416992,-0.09387802332639694,5.704029083251953,-0.07061098515987396,3.714742660522461,1583.561346867297,1040.6728662662922,2981.3829787234044,1723.0283679474053,1486.48550800278,435.3551655691942,0.18085743486881256,0.08266764134168625,0.12404421542553191,0.13192775001922669,low,ravdess,datasets\raw\stress\ravdess\Actor_01\03-01-03-01-02-01-01.wav
1.7,-8.216387748718262,51.03107833862305,-0.17931219935417175,5.920678615570068,-0.03379642590880394,3.985842227935791,1804.0986163937996,1158.5311816678989,3243.634259259259,1510.6890873777227,1515.9658749225841,345.22266803121204,0.18775027990341187,0.07632942497730255,0.1323875144675926,0.13661947681038986,low,ravdess,datasets\raw\stress\ravdess\Actor_01\03-01-03-01-02-02-01.wav
1.54,-18.428211212158203,56.900550842285156,0.025023482739925385,5.4588398933410645,0.0636059045791626,3.5727503299713135,1698.3435224249647,875.5480220623915,3006.6964285714284,1470.3333573581892,1562.7673633444258,357.6381790022052,0.12162641435861588,0.05398077517747879,0.11156728316326531,0.06881638490385025,low,ravdess,datasets\raw\stress\ravdess\Actor_01\03-01-03-02-01-01-01.wav
